name, mean (ns), stddev (%), confidence (%)
dbj.sqrt_int, 422, 9.961630, 1.147602,
clib.sqrt, 77, 54.486672, 6.276986,
dbj.sqrt_newton, 647, 25.721321, 2.963153,
allocators.kmem, 1044840, 7.269237, 5.921540,
allocators.static_nvwa_pool, 216, 26.627205, 5.527275,
allocators.fixed_mem_pool, 14623350, 3.510355, 2.859545,
allocators.straight_calloc_free, 5747641, 12.208488, 3.560905,
allocators.dbj_nano_calloc_free, 37584, 17.298838, 1.992865,
allocators.standard_new_delete, 4701615, 9.008367, 5.323719,
kvec_std_vec.atl_vec_dynamic, 1397592, 2.805227, 0.983370,
kvec_std_vec.kvec_resize, 31025, 17.095908, 1.969487,
kvec_std_vec.kvec_push, 1919472, 1.861980, 0.731453,
kvec_std_vec.std_vec_resize, 48056, 26.190627, 3.017218,
kvec_std_vec.std_vec_push, 6147207, 0.738067, 0.508133,
